,PlaybackIndex,is_progressive,is_medium,is_total,is_slow,is_static,is_proximal_droplet,is_distal_droplet,is_earlytrack,is_hyperactive_mouse,is_rapid,is_motile,is_bent_tail,fid,experiment_media,VAP,VSL,ALH,LIN,BCF,VCL,WOB,STR,MAD,cluster_id,P_cluster_0,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,subtype_label,P_rapid_progressive,P_immotile,P_nonprogressive,P_progressive,P_erratic,tsne_1,tsne_2,P_0,P_1,P_2,P_3,P_4,drug_cluster,P_axis_byls,E_axis_byls,progressivity_res,erraticity_res,entropy,umap_1,umap_2
491,10,0,0,1,0,0,0,0,0,0,1,1,0,491,6,104.65,66.86,12.61,26.53,28.89,251.98,41.53,63.89,96.6799352068454,0,0.9999922499303624,0.0,5.386818546139025e-06,1.7290765658215309e-74,2.3632510907637867e-06,rapid_progressive,0.9999922499303624,0.0,5.386818546139025e-06,1.7290765658215309e-74,2.3632510907637867e-06,20.002172,17.519207,0.7593395797405785,0.0,2.1249012074473535e-163,0.010899291519781631,0.22976112873963322,0,0.797798548920422,0.39224867869528196,0.9999922499303624,4.7392027300539246e-07,0.6149861676303933,7.340661,6.813273
492,11,1,0,1,0,0,0,0,0,1,1,1,0,492,6,104.68,89.93,10.37,33.13,31.49,271.43,38.57,85.91,98.4225662404503,0,0.9999999973577474,0.0,1.0104450388624523e-10,2.518821035572005e-09,2.2386909604334694e-11,rapid_progressive,0.9999999973577474,0.0,1.0104450388624523e-10,2.518821035572005e-09,2.2386909604334694e-11,17.081142,14.251863,0.9703494355771184,0.0,4.997279901596237e-72,0.01920946569406012,0.01044109872881986,0,0.9240032912731566,0.21848594168310226,0.9999999998765684,0.0,0.21084285407110004,8.575103,6.6877823
493,12,1,0,1,0,0,0,0,0,0,1,1,0,493,6,133.09,126.83,8.69,59.17,38.17,214.34,62.09,95.3,93.07969438168472,3,5.685708812983709e-08,0.0,6.507754222328584e-14,0.999999943142848,2.707827852476823e-59,progressive,5.685708812983709e-08,0.0,6.507754222328584e-14,0.999999943142848,2.707827852476823e-59,29.21306,-16.626915,9.082800923845264e-10,0.0,6.897066868607681e-06,3.9491192602464725e-12,7.148444846387455e-46,6,1.0,0.11682910745135971,0.9999999999999362,0.0,8.590262305355384e-13,12.693935,7.001115
494,13,0,0,1,0,0,0,0,1,0,1,1,0,494,6,73.52,52.37,8.6,36.41,43.81,143.85,51.11,71.24,100.70572293284988,2,0.026941192811916828,0.0,0.9730588071880831,1.8049359681075306e-26,6.381703437602349e-24,non_progressive,0.026941192811916828,0.0,0.9730588071880831,1.8049359681075306e-26,6.381703437602349e-24,-0.6613482,0.813399,7.153567287862526e-07,0.0,1.5231535661575994e-29,0.9902261202286565,7.709846695464396e-20,3,0.7506129036083702,0.35001391353284783,0.026941192811916828,8.071856134193935e-25,-1.0000889004001133e-12,9.32974,3.8798904
495,14,1,0,1,0,0,0,0,1,0,1,1,0,495,6,79.12,72.6,4.85,59.8,39.89,121.4,65.17,91.76,100.10230471405421,3,1.2897669250298815e-21,0.0,0.00016739672992921348,0.9998326032700715,1.0322139259893952e-125,progressive,1.2897669250298815e-21,0.0,0.00016739672992921348,0.9998326032700715,1.0322139259893952e-125,-10.815993,-11.423948,2.9173264002882315e-37,0.0,0.9986560830709861,5.0564563242867135e-15,5.394498496776766e-139,2,0.924473124018238,0.2073427213698481,0.9998326032700715,0.0,0.0016229213772260415,11.831749,2.6128953
496,15,0,0,1,0,0,0,0,1,0,1,1,0,496,6,129.25,92.77,10.75,38.32,44.88,242.08,53.39,71.78,86.84326313462395,0,0.9998802915410976,0.0,0.00011970845890167634,1.2033575689795764e-27,4.9811062132207453e-17,rapid_progressive,0.9998802915410976,0.0,0.00011970845890167634,1.2033575689795764e-27,4.9811062132207453e-17,26.12135,-1.9051002,0.9877572786883453,0.0,6.165661310118554e-103,0.012230578837094944,1.2142474492796603e-05,0,0.882133142826254,0.33457316935563214,0.9998802915410976,1.232169062589743e-18,1.0768610590394853e-11,10.6322,6.813131
497,16,0,0,1,0,0,0,0,0,1,1,1,0,497,6,93.8,43.17,12.74,14.64,39.54,294.85,31.81,46.02,98.47462905341628,4,0.051824691933509165,0.0,2.048769027518913e-18,0.0,0.9481753080664902,erratic,0.051824691933509165,0.0,2.048769027518913e-18,0.0,0.9481753080664902,14.487079,33.263577,9.380159995302119e-06,0.0,0.0,1.1392387715794196e-24,0.9999906179068045,4,0.7356828887692748,0.5764687163981558,0.051824691933509165,0.25086607132303873,-1.0000291968800545e-12,6.1410565,6.377352
498,17,1,0,1,0,0,0,0,0,0,1,1,0,498,6,114.06,103.61,9.42,58.09,26.82,178.37,63.94,90.84,67.5986450362327,3,2.6716203982332645e-10,0.0,7.333569158877164e-10,0.9999999989994812,1.2465330177057741e-65,progressive,2.6716203982332645e-10,0.0,7.333569158877164e-10,0.9999999989994812,1.2465330177057741e-65,9.843243,-24.376589,1.5410868571690842e-15,0.0,7.609191108465478e-05,2.7046992991871647e-07,4.977177008613217e-72,6,0.9641880608623303,0.1746780731875117,0.9999999992666433,2.8016088568100206e-67,1.615633863773169e-08,13.219389,5.235409
499,18,0,1,1,0,0,0,0,0,0,0,1,0,499,6,18.54,9.32,6.24,21.37,25.79,43.62,42.5,50.29,90.72664381091974,2,4.32579662167498e-25,0.0,0.9999999999999982,0.0,1.5241748935923702e-15,non_progressive,4.32579662167498e-25,0.0,0.9999999999999982,0.0,1.5241748935923702e-15,-19.280966,17.394943,9.361452162685358e-122,0.0,1.796024751745897e-291,1.0820844738800125e-27,1.396979630569638e-08,5,0.4712637363907852,0.2983866560758051,4.32579662167498e-25,2.1506018205831807e-16,-9.564224010186374e-13,6.3576617,2.352105
500,19,0,0,1,0,0,0,0,1,0,1,1,0,500,6,154.45,103.4,7.64,43.95,11.97,235.25,65.66,66.95,69.60977675990522,0,0.9999995187357061,0.0,4.812642935001684e-07,8.926779914927258e-76,1.7034875854741694e-27,rapid_progressive,0.9999995187357061,0.0,4.812642935001684e-07,8.926779914927258e-76,1.7034875854741694e-27,27.39138,-5.6342072,0.9814335589303266,0.0,1.6814401926667414e-212,0.01856643896707307,2.1024551451428235e-09,0,0.903598630910097,0.14154453961879057,0.9999995187357061,0.0,-1.0000888027788207e-12,11.021541,7.0473657
