,PlaybackIndex,is_distal_droplet,is_total,is_progressive,is_slow,is_medium,is_proximal_droplet,is_hyperactive_mouse,is_motile,is_static,is_bent_tail,is_rapid,is_earlytrack,fid,VAP,VSL,ALH,LIN,BCF,VCL,WOB,STR,MAD,cluster_id,P_cluster_0,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,subtype_label,P_rapid_progressive,P_immotile,P_nonprogressive,P_progressive,P_erratic,tsne_1,tsne_2,P_axis_byls,E_axis_byls,progressivity_res,erraticity_res,entropy
238,24,0,1,0,0,1,0,0,1,0,0,0,0,238,37.75,19.67,7.68,13.59,30.44,144.71,26.09,52.1,75.30254824216661,4,6.437666213914687e-15,0.0,0.011852352700482153,0.0,0.9881476472995112,erratic,6.437666213914687e-15,0.0,0.011852352700482153,0.0,0.9881476472995112,-8.012218,32.02393,0.5179178568847176,0.36819365957635336,6.437666213914687e-15,0.10698613754337928,0.06434973153354974
239,1,0,1,0,0,0,0,0,0,1,0,0,0,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.61406216267414,1,0.0,1.0,3.3432513879499115e-44,0.0,1.0614928229783061e-74,immotile,0.0,1.0,3.3432513879499115e-44,0.0,1.0614928229783061e-74,-63.65755,18.536198,0.0,0.17871269684084157,0.0,0.0,-1.000088900581841e-12
240,2,0,1,0,0,0,0,0,1,0,0,1,1,240,101.03,79.17,11.43,34.7,23.93,228.16,44.28,78.36,93.92487326948523,0,0.999958701645447,0.0,4.12982728044535e-05,6.794533877572606e-12,7.495479818627823e-11,rapid_progressive,0.999958701645447,0.0,4.12982728044535e-05,6.794533877572606e-12,7.495479818627823e-11,12.6686325,12.338491,0.8518021727909311,0.26351802512158545,0.9999587016522415,8.842737389645829e-12,2.8542111992131862e-05
241,3,0,1,0,0,0,0,0,1,0,0,1,0,241,90.35,22.1,10.25,10.11,42.3,218.55,41.34,24.47,71.50156340200917,4,4.828916599968984e-09,0.0,1.883886226323704e-07,0.0,0.9999998067824611,erratic,4.828916599968984e-09,0.0,1.883886226323704e-07,0.0,0.9999998067824611,-3.4745634,29.40227,0.5575544318885965,0.6140373605828175,4.828916599968984e-09,0.21563646330637257,3.1055390135054243e-06
242,4,0,1,1,0,0,0,0,1,0,0,1,1,242,111.41,108.81,5.9,76.85,25.26,141.58,78.69,97.66,51.76719317301745,3,1.0726824708943588e-46,0.0,3.401440288581663e-12,0.9999999999966,1.8017671297177516e-194,progressive,1.0726824708943588e-46,0.0,3.401440288581663e-12,0.9999999999966,1.8017671297177516e-194,1.9967309,-39.047382,1.0,0.12166689543452819,0.9999999999966,0.0,9.134608924614986e-11
243,5,0,1,0,0,1,0,0,1,0,0,0,0,243,47.99,45.43,3.22,47.28,52.62,96.08,49.95,94.66,120.07952738710885,2,5.0147256212002754e-14,0.0,0.9051038541925278,0.09489614580742145,1.4497738730429647e-82,non_progressive,5.0147256212002754e-14,0.0,0.9051038541925278,0.09489614580742145,1.4497738730429647e-82,-14.374549,7.113812,0.8070635619827289,0.23762562541449078,0.09489614580747159,0.0,0.31372169410441464
244,6,0,1,1,0,0,0,0,1,0,0,1,0,244,77.92,75.02,7.81,59.72,16.51,125.61,62.04,96.27,56.08171917476971,3,6.942142158705725e-22,0.0,5.4972028740387515e-06,0.9999945027971258,1.89452211508997e-111,progressive,6.942142158705725e-22,0.0,5.4972028740387515e-06,0.9999945027971258,1.89452211508997e-111,-8.8662615,-21.19606,0.9144360396335027,0.17194344173236034,0.9999945027971258,2.08537711930105e-112,7.20753004123557e-05
245,7,0,1,0,0,0,0,0,1,0,0,1,0,245,105.03,24.28,14.63,13.18,16.8,184.25,57.0,23.12,59.037621526066985,4,5.338268249002485e-35,0.0,3.035926979277198e-05,6.054146865639947e-135,0.9999696407302078,erratic,5.338268249002485e-35,0.0,3.035926979277198e-05,6.054146865639947e-135,0.9999696407302078,-3.6333997,26.224945,0.5554845186431259,0.5866336510315924,5.338268249002485e-35,0.4723230132529587,0.0003461683378684769
246,8,0,1,1,0,0,0,0,1,0,0,1,0,246,83.19,80.96,5.52,66.71,28.34,121.36,68.55,97.32,55.06906371977136,3,4.710051858283719e-37,0.0,4.061231098699134e-08,0.9999999593876873,1.165269870729131e-161,progressive,4.710051858283719e-37,0.0,4.061231098699134e-08,0.9999999593876873,1.165269870729131e-161,-7.80293,-32.04098,0.9645939852790757,0.17347927452513492,0.9999999593876873,0.0,7.317991336064892e-07
247,9,0,1,0,0,0,0,0,1,0,0,1,0,247,55.58,25.88,6.53,25.62,22.05,101.01,55.02,46.57,72.91507992849004,2,4.867380773684799e-32,0.0,1.0,9.051828159602284e-225,5.172654411883195e-20,non_progressive,4.867380773684799e-32,0.0,1.0,9.051828159602284e-225,5.172654411883195e-20,-10.582045,22.681812,0.5950257123914566,0.30664212297880566,4.867380773684799e-32,4.647411283034865e-21,-1.000087471324611e-12
248,10,0,1,1,0,0,0,0,1,0,0,1,0,248,99.23,81.74,9.42,44.04,23.1,185.58,53.47,82.37,67.42027812022148,3,0.04238572550067032,0.0,0.0003821697022506508,0.9572321047970794,3.7823152306640525e-26,progressive,0.04238572550067032,0.0,0.0003821697022506508,0.9572321047970794,3.7823152306640525e-26,7.365807,-14.176552,0.8632878104400787,0.21171315445716052,0.9996178302977498,2.0253368016018072e-27,0.003522380420099354
249,11,0,1,0,0,0,0,0,1,0,0,1,1,249,72.81,8.06,11.7,3.27,35.9,246.19,29.57,11.07,94.94490306452191,4,5.236863485087419e-21,0.0,2.436716494240327e-19,0.0,1.0,erratic,5.236863485087419e-21,0.0,2.436716494240327e-19,0.0,1.0,-2.2080789,36.02991,0.5024986636748519,0.7118147992334669,5.236863485087419e-21,0.3328377507573858,-1.0000821676854098e-12
